# These data are from Kleinteich and Gorb, Sci. Rep., 4, 5225, 2014.
# Frog ID: II
# Age: adult
# Snout-vent-length (SVL): 70 mm
# Body weight: 72.7 g
# Species: Ceratophrys cranwelli crossed with Ceratophrys cornuta
date,trial number,impact force (mN),impact time (ms),impact force / body weight,adhesive force (mN),time frog pulls on target (ms),adhesive force / body weight,adhesive impulse (N-s),total contact area (mm2),contact area without mucus (mm2),contact area with mucus / contact area without mucus,contact pressure (Pa),adhesive strength (Pa)
2013_03_19,1,1612,18,3.79,-655,3087,1.54,-0.385,348,15,0.96,4633,-1881
2013_03_19,2,605,55,1.42,-292,1261,0.69,-0.294,248,24,0.90,2441,-1177
2013_03_19,3,327,51,0.77,-246,1508,0.58,-0.282,130,34,0.74,2517,-1894
2013_03_19,4,946,59,2.23,-245,1841,0.58,-0.340,106,26,0.76,8893,-2301
2013_03_21,1,541,33,1.27,-553,3126,1.30,-0.432,276,16,0.94,1959,-2004
2013_03_21,2,1539,43,3.62,-664,741,1.56,-0.046,85,24,0.72,18073,-7802
2013_03_21,3,529,28,1.24,-261,2482,0.61,-0.414,325,33,0.90,1627,-803
2013_03_21,4,628,31,1.48,-691,998,1.63,-0.071,242,67,0.72,2600,-2860
2013_03_25,1,1453,72,3.42,-92,1652,0.22,-0.008,136,0,1.00,10645,-678
2013_03_25,2,297,42,0.70,-566,936,1.33,-0.084,126,4,0.97,2367,-4506
2013_03_25,3,703,33,1.65,-223,2152,0.52,-0.209,237,8,0.97,2972,-942
2013_03_25,4,269,57,0.63,-512,189,1.20,-0.055,29,28,0.03,9279,-17652
2013_03_28,1,751,39,1.77,-227,1195,0.53,-0.026,206,0,1.00,3647,-1101
2013_03_28,2,245,21,0.58,-573,1466,1.35,-0.215,190,46,0.76,1288,-3014
2013_04_03,1,1182,28,2.78,-522,1197,1.23,-0.118,281,0,1.00,4213,-1860
2013_04_03,2,515,29,1.21,-599,1486,1.41,-0.226,217,0,1.00,2369,-2757
2013_04_08,1,435,26,1.02,-364,1017,0.86,-0.211,189,89,0.53,2302,-1927
2013_04_08,2,383,31,0.90,-469,974,1.10,-0.260,221,72,0.67,1737,-2129
2013_04_08,3,457,15,1.08,-844,780,1.99,-0.328,171,106,0.38,2665,-4925
2013_04_12,1,730,42,1.72,-648,786,1.52,-0.121,142,43,0.70,5149,-4573
