# These data are from Kleinteich and Gorb, Sci. Rep., 4, 5225, 2014.
# Frog ID: III
# Age: juvenile
# Snout-vent-length (SVL): 28 mm
# Body weight: 12.7 g
# Species: Ceratophrys cranwelli
date,trial number,impact force (mN),impact time (ms),impact force / body weight,adhesive force (mN),time frog pulls on target (ms),adhesive force / body weight,adhesive impulse (N-s),total contact area (mm2),contact area without mucus (mm2),contact area with mucus / contact area without mucus,contact pressure (Pa),adhesive strength (Pa)
2013_05_27,1,614,88,4.94,-94,683,0.76,-0.001,97,15,0.83,6326,-967
2013_05_27,2,414,143,3.33,-163,245,1.31,-0.032,108,10,0.60,3824,-1507
2013_05_27,3,324,105,2.61,-172,619,1.38,-0.079,55,23,0.37,5946,-3149
2013_06_11,1,776,35,6.24,-225,1823,1.81,-0.132,124,17,0.77,6272,-1818
2013_06_11,2,611,29,4.91,-301,918,2.42,-0.155,128,43,0.02,4770,-2354
2013_06_11,3,544,16,4.38,-93,1351,0.75,-0.110,43,34,0.71,12699,-2181
2013_06_14,1,538,38,4.32,-131,1790,1.05,-0.036,130,74,1.00,4130,-1005
2013_06_14,2,579,31,4.66,-289,1006,2.33,-0.073,113,4,0.48,5110,-2555
2013_06_18,1,806,29,6.49,-104,883,0.84,-0.055,115,55,0.66,6993,-902
2013_06_18,2,459,32,3.70,-229,1218,1.85,-0.137,89,6,0.95,5165,-2580
2013_06_18,3,458,30,3.69,-259,910,2.08,-0.194,91,88,0.15,5048,-2855
2013_06_18,4,626,16,5.04,-231,550,1.86,-0.042,82,23,0.01,7633,-2819
2013_06_21,1,621,27,4.99,-267,2081,2.14,-0.183,120,58,0.90,5152,-2213
2013_06_21,2,544,30,4.38,-178,376,1.43,-0.034,19,17,0.05,28641,-9364
2013_06_21,3,535,35,4.30,-123,289,0.99,-0.029,21,29,0.05,25471,-5843
2013_06_21,4,385,39,3.09,-151,607,1.22,-0.082,31,126,0.03,12409,-4882
2013_06_26,1,401,36,3.23,-127,2932,1.02,-0.215,142,12,0.86,2835,-896
2013_06_26,2,614,34,4.94,-372,680,2.99,-0.140,72,1,0.42,8475,-5136
2013_06_26,3,665,40,5.35,-236,685,1.90,-0.118,129,0,0.16,5171,-1834
2013_06_26,4,488,34,3.93,-390,1308,3.14,-0.208,112,58,0.39,4376,-3492
