# These data are from Kleinteich and Gorb, Sci. Rep., 4, 5225, 2014.
# Frog ID: IV
# Age: juvenile
# Snout-vent-length (SVL): 31 mm
# Body weight: 12.7 g
# Species: Ceratophrys cranwelli
date,trial number,impact force (mN),impact time (ms),impact force / body weight,adhesive force (mN),time frog pulls on target (ms),adhesive force / body weight,adhesive impulse (N-s),total contact area (mm2),contact area without mucus (mm2),contact area with mucus / contact area without mucus,contact pressure (Pa),adhesive strength (Pa)
2013_05_27,2,172,26,1.28,-456,462,3.40,-0.050,133,0,0.88,1297,-3440
2013_05_27,3,142,20,1.05,-193,250,1.44,-0.047,57,74,0.83,2498,-3400
2013_05_27,4,37,55,0.28,-236,743,1.76,-0.119,51,44,0.54,735,-4647
2013_05_30,1,453,38,3.37,-225,844,1.68,-0.110,142,108,0.48,3177,-1581
2013_05_30,2,355,31,2.64,-217,728,1.61,-0.023,174,39,0.98,2037,-1245
2013_05_30,3,22,33,0.17,-161,472,1.20,-0.052,56,4,0.02,397,-2866
2013_06_03,1,502,74,3.74,-139,959,1.04,-0.089,65,77,0.91,7713,-2141
2013_06_11,1,273,26,2.03,-264,844,1.97,-0.160,124,81,0.29,2205,-2136
2013_06_11,2,720,27,5.36,-342,1515,2.55,-0.226,137,0,0.83,5259,-2497
2013_06_11,3,582,33,4.34,-231,279,1.72,-0.033,60,4,0.03,9705,-3847
2013_06_11,4,198,23,1.47,-209,1427,1.55,-0.151,110,69,0.84,1793,-1889
2013_06_14,1,198,6,1.47,-292,2874,2.17,-0.232,145,50,0.99,1369,-2018
2013_06_18,1,597,29,4.44,-339,4251,2.53,-0.281,191,12,1.00,3116,-1772
2013_06_18,2,516,31,3.84,-371,626,2.76,-0.094,83,18,0.12,6184,-4447
2013_06_18,3,815,34,6.07,-331,1254,2.47,-0.077,151,20,0.71,5386,-2190
2013_06_18,4,402,38,3.00,-302,986,2.25,-0.122,117,30,0.07,3446,-2591
2013_06_21,1,605,39,4.50,-216,1627,1.61,-0.139,123,20,1.00,4928,-1759
2013_06_21,2,711,76,5.30,-163,2021,1.21,-0.217,129,42,0.97,5498,-1257
2013_06_21,3,614,33,4.57,-367,1366,2.73,-0.198,128,108,0.46,4776,-2857
2013_06_21,4,468,36,3.48,-218,1269,1.63,-0.122,129,68,0.61,3617,-1688
