temperature,humidity,time,room
24,90,6:20,bathroom
21,89,6:20,bathroom
20,88,6:20,bathroom
20,88,6:20,bathroom
21,90,6:20,bathroom
20,46,6:20,bathroom
24,89,6:20,bathroom
22,87,6:20,bathroom
20,85,6:20,bathroom
23,89,6:20,bathroom
20,28,12:00,bathroom
18,38,12:00,bathroom
17,35,12:00,bathroom
20,30,12:00,bathroom
19,32,12:00,bathroom
17,43,12:00,bathroom
18,32,12:00,bathroom
19,37,12:00,bathroom
18,38,12:00,bathroom
20,29,12:00,bathroom
19,31,12:00,bathroom
20,28,12:00,bathroom
20,28,6:50,kitchen
18,38,6:50,kitchen
17,35,6:50,kitchen
20,88,6:50,kitchen
19,32,6:50,kitchen
17,43,6:50,kitchen
18,32,6:50,kitchen
19,37,6:50,kitchen
18,38,6:50,kitchen
20,29,6:50,kitchen
19,31,6:50,kitchen
20,28,6:50,kitchen
20,28,12:00,kitchen
18,38,12:00,kitchen
17,35,12:00,kitchen
20,31,12:00,kitchen
19,32,12:00,kitchen
17,43,12:00,kitchen
18,32,12:00,kitchen
19,37,12:00,kitchen
18,38,12:00,kitchen
20,29,12:00,kitchen
19,31,12:00,kitchen
20,28,12:00,kitchen
